Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRAPHITE,EQ,23-Aug-19,276.5,275,285,273.4,284.2,283.05,280.54,675552,189519759.6,31094,244338,36.17
GRAPHITE,EQ,26-Aug-19,283.05,289,290.35,280.2,288.55,288.7,286.22,875004,250440649.5,19234,189925,21.71
GRAPHITE,EQ,27-Aug-19,288.7,290.45,296.25,287.1,293.2,291.8,291.16,1342061,390752908.2,36499,417490,31.11
GRAPHITE,EQ,28-Aug-19,291.8,293,293.6,280,281,281.2,286.66,513189,147109036.1,16014,225429,43.93
GRAPHITE,EQ,29-Aug-19,281.2,279.7,281,272.8,273.5,273.75,276.4,564804,156113065.6,17941,183865,32.55
GRAPHITE,EQ,30-Aug-19,273.75,275,280.9,265.55,267.4,268.6,270.63,869040,235191992.9,36259,391889,45.09
GRAPHITE,EQ,3-Sep-19,268.6,266.55,271.75,265.1,266.9,266,267.98,664740,178134461,12996,218436,32.86
GRAPHITE,EQ,4-Sep-19,266,266.95,269.2,263.05,266.1,266.95,266.14,517575,137745741.3,14531,113178,21.87
GRAPHITE,EQ,5-Sep-19,266.95,267.55,278.55,267.55,269.85,270.4,273.83,1094087,299591616.1,22191,229136,20.94
GRAPHITE,EQ,6-Sep-19,270.4,272.15,275,271.05,272.5,272.55,273.01,667081,182118059.5,15720,214726,32.19
GRAPHITE,EQ,9-Sep-19,272.55,273,284.9,272.6,278.5,277.6,278.81,1405149,391772586.3,32121,313230,22.29
GRAPHITE,EQ,11-Sep-19,277.6,279.8,289.5,279.1,281.3,282.95,284.42,1480259,421021123.5,41773,460509,31.11
GRAPHITE,EQ,12-Sep-19,282.95,284,311.55,280.5,304,302.25,302.45,5048333,1526857836,98373,743529,14.73
GRAPHITE,EQ,13-Sep-19,302.25,305.65,317.9,303.7,314,311.25,310.2,2794317,866805563.8,39858,437749,15.67
GRAPHITE,EQ,16-Sep-19,311.25,309.9,373.5,306.6,364,371.25,349.24,14446688,5045325226,219476,1564914,10.83
GRAPHITE,EQ,17-Sep-19,371.25,359.7,384,332,345,340,360.09,11873258,4275475205,191147,1342787,11.31
GRAPHITE,EQ,18-Sep-19,340,348.65,357.85,331.25,337.35,338.4,343.09,6426472,2204870573,98316,496653,7.73
